n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
18,7,5,9,2,68,1.9570467472076416,846,0.22615838050842285,126,4.609619140625
18,8,5,10,2,76,2.2587175369262695,1126,0.300722599029541,64,4.512811660766602
19,1,5,3,2,37,0.8728759288787842,213,0.06374692916870117,5,0.08910346031188965
19,2,5,4,2,30,0.9386632442474365,178,0.0563502311706543,3,0.05638718605041504
19,3,5,5,2,46,1.3281075954437256,356,0.09656643867492676,52,0.5558972358703613
19,4,5,6,2,50,1.3110356330871582,359,0.12845373153686523,7,0.05336356163024902
19,5,5,7,2,62,1.559471845626831,635,0.15465497970581055,208,1.5845978260040283
19,6,5,8,2,79,2.5927488803863525,868,0.23194265365600586,518,13.288228511810303
19,7,5,9,2,57,1.790109634399414,558,0.1477048397064209,78,1.851527214050293
19,8,5,10,2,91,2.394752264022827,1356,0.32659387588500977,486,14.919227123260498
20,1,5,3,2,28,0.8586487770080566,148,0.05039644241333008,4,0.05615997314453125
20,2,5,4,2,44,1.0965194702148438,364,0.09490537643432617,8,0.24253559112548828
20,3,5,5,2,45,1.207218885421753,363,0.10394692420959473,10,0.2010331153869629
20,4,5,6,2,53,1.4986393451690674,539,0.13568115234375,19,1.497480869293213
20,5,5,7,2,53,1.5861470699310303,500,0.1739799976348877,19,0.23341822624206543
20,6,5,8,2,65,1.8885343074798584,873,0.2266242504119873,126,6.567598819732666
20,7,5,9,2,84,2.242130994796753,1168,0.2578153610229492,90,2.102675437927246
20,8,5,10,2,50,1.7812001705169678,342,0.0984945297241211,20,0.28780055046081543
21,1,5,3,2,36,0.9124240875244141,266,0.0717306137084961,22,0.15333843231201172
21,2,5,4,2,55,1.1597275733947754,480,0.12326312065124512,23,0.16495299339294434
21,3,5,5,2,42,1.152003526687622,298,0.10162997245788574,32,0.3197896480560303
21,4,5,6,2,66,1.6098732948303223,821,0.216902494430542,134,3.7866060733795166
21,5,5,7,2,53,1.5308074951171875,545,0.1333606243133545,56,1.0191731452941895
21,6,5,8,2,53,1.526646614074707,450,0.1500403881072998,24,0.36295270919799805
21,7,5,9,2,44,1.5579450130462646,336,0.10273981094360352,27,0.29230284690856934
21,8,5,10,2,70,2.0282070636749268,896,0.22429537773132324,128,8.547497987747192
22,1,5,3,2,35,0.9473979473114014,247,0.06948351860046387,8,0.13179755210876465
22,2,5,4,2,29,0.9573643207550049,159,0.05388355255126953,9,0.09086775779724121
